work_id,title,slug,slug_source,automatic_slug,override_slug,report_url,otrostitulos
GONZALEZ-CUNEDO_AUnTraidorDosAlevosos(Transk-IMPR),A un traidor dos alevosos,un-traidor-dos-alevosos,automatic,un-traidor-dos-alevosos,,https://etso.es/informes/analisis-estilometrico-un-traidor-dos-alevosos,
QUINONES_Abadejillo(Entremes),"Abadejillo, El",el-abadejillo,automatic,el-abadejillo,,https://etso.es/informes/analisis-estilometrico-el-abadejillo,
VELEZ_AbadesaDelCielo(Auto),"Abadesa del cielo, La",la-abadesa-del-cielo,automatic,la-abadesa-del-cielo,,https://etso.es/informes/analisis-estilometrico-la-abadesa-del-cielo,
LOPE_Abanillo,"Abanillo, El",el-abanillo,automatic,el-abanillo,,https://etso.es/informes/analisis-estilometrico-el-abanillo,
CANIZARES_AbogarPorSuOfensor(Transk-IMPR),Abogar por su ofensor y barón del Pinel,abogar-por-su-ofensor-y-baron-del-pinel,automatic,abogar-por-su-ofensor-y-baron-del-pinel,,https://etso.es/informes/analisis-estilometrico-abogar-por-su-ofensor-y-baron-del-pinel,
MONTALBAN_AborrecerLoqueQuiere(Transk-IMPR),Aborrecer lo que quiere,aborrecer-lo-que-quiere,automatic,aborrecer-lo-que-quiere,,https://etso.es/informes/analisis-estilometrico-aborrecer-lo-que-quiere,
HOZ_AbrahamCastellano(Transk-IMPR),Abraham castellano y blasón de los Guzmanes,abraham-castellano-y-blason-de-los-guzmanes,automatic,abraham-castellano-y-blason-de-los-guzmanes,,https://etso.es/informes/analisis-estilometrico-abraham-castellano-y-blason-de-los-guzmanes,
DESCONOCIDO_AbrahamDelYermo(Transk-MSS),Abraham del yermo,abraham-del-yermo,automatic,abraham-del-yermo,,https://etso.es/informes/analisis-estilometrico-abraham-del-yermo,
ROJAS_AbrirElOjo,Abrir el ojo,abrir-el-ojo,automatic,abrir-el-ojo,,https://etso.es/informes/analisis-estilometrico-abrir-el-ojo,
MORALES_AcademiasDeAmor,"Academias de amor, Las",las-academias-de-amor,automatic,las-academias-de-amor,,https://etso.es/informes/analisis-estilometrico-las-academias-de-amor,
LOPE_AceroDeMadrid,"Acero de Madrid, El",el-acero-de-madrid,automatic,el-acero-de-madrid,,https://etso.es/informes/analisis-estilometrico-el-acero-de-madrid,
GODINEZ_AcertarDeTresLaUna(Transk-IMPR),Acertar de tres la una,acertar-de-tres-la-una,automatic,acertar-de-tres-la-una,,https://etso.es/informes/analisis-estilometrico-acertar-de-tres-la-una,
LOPE_AcertarErrando,Acertar errando,acertar-errando,automatic,acertar-errando,,https://etso.es/informes/analisis-estilometrico-acertar-errando,
LOPEdudosa_AchaquesDeLeonor,"Achaques de Leonor, Los",los-achaques-de-leonor,automatic,los-achaques-de-leonor,,https://etso.es/informes/analisis-estilometrico-los-achaques-de-leonor,
VIVAS_AciagoMasDichoso(PrimeraParte)(Transk-MSS),"Aciago más dichoso, El (primera parte)",el-aciago-mas-dichoso-primera-parte,automatic,el-aciago-mas-dichoso-primera-parte,,https://etso.es/informes/analisis-estilometrico-el-aciago-mas-dichoso-primera-parte,
VIVAS_AciagoMasDichoso(SegundaParte)(Transk-MSS),"Aciago más dichoso, El (segunda parte)",el-aciago-mas-dichoso-segunda-parte,automatic,el-aciago-mas-dichoso-segunda-parte,,https://etso.es/informes/analisis-estilometrico-el-aciago-mas-dichoso-segunda-parte,
BELMONTE_AciertoEnElEngano,"Acierto en el engaño, El",el-acierto-en-el-engano,automatic,el-acierto-en-el-engano,,https://etso.es/informes/analisis-estilometrico-el-acierto-en-el-engano,
CANIZARES_AcisYGalatea(Zarzuela)(Transk-MSS),Acis y Galatea,acis-y-galatea,automatic,acis-y-galatea,,https://etso.es/informes/analisis-estilometrico-acis-y-galatea,
ALARCON_DonDomingoDeDonBlas(SegundaParte),"Acomodado Don Domingo de Don Blas, El",el-acomodado-don-domingo-de-don-blas-segunda-parte,override,el-acomodado-don-domingo-de-don-blas,el-acomodado-don-domingo-de-don-blas-segunda-parte,https://etso.es/informes/analisis-estilometrico-el-acomodado-don-domingo-de-don-blas-segunda-parte,
